iter	Passed	Remaining
748	2968	994
749	2974	991
750	2980	988
751	2983	983
752	2987	980
753	2991	975
754	2994	971
755	2999	967
756	3002	963
757	3006	959
758	3010	955
759	3014	952
760	3019	948
761	3022	944
762	3026	939
763	3029	935
764	3033	931
765	3036	927
766	3039	923
767	3043	919
768	3046	915
769	3052	911
770	3055	907
771	3059	903
772	3063	899
773	3066	895
774	3070	891
775	3074	887
776	3077	883
777	3081	879
778	3085	875
779	3089	871
780	3092	867
781	3096	863
782	3100	859
783	3104	855
784	3108	851
785	3112	847
786	3116	843
787	3120	839
788	3124	835
789	3128	831
790	3133	827
791	3136	823
792	3140	819
793	3144	815
794	3148	811
795	3152	807
796	3156	804
797	3160	800
798	3164	795
799	3168	792
800	3172	788
801	3176	784
802	3180	780
803	3184	776
804	3188	772
805	3191	768
806	3195	764
807	3199	760
808	3202	756
809	3206	752
810	3210	748
811	3213	744
812	3217	739
813	3221	736
814	3225	732
815	3228	728
816	3232	724
817	3236	720
818	3239	715
819	3243	711
820	3247	707
821	3250	703
822	3254	699
823	3257	695
824	3261	691
825	3265	687
826	3270	684
827	3274	680
828	3277	676
829	3281	672
830	3285	668
831	3289	664
832	3292	660
833	3296	656
834	3300	652
835	3304	648
836	3307	644
837	3312	640
838	3316	636
839	3320	632
840	3324	628
841	3328	624
842	3332	620
843	3336	616
844	3340	612
845	3344	608
846	3348	604
847	3351	600
848	3355	596
849	3359	592
850	3362	588
851	3366	584
852	3370	580
853	3373	576
854	3377	572
855	3381	568
856	3385	564
857	3388	560
858	3392	556
859	3396	552
860	3400	549
861	3404	545
862	3408	541
863	3412	537
864	3415	533
865	3419	529
866	3423	525
867	3427	521
868	3431	517
869	3435	513
870	3439	509
871	3443	505
872	3446	501
873	3450	497
874	3455	493
875	3459	489
876	3463	485
877	3466	481
878	3471	477
879	3474	473
880	3480	470
881	3484	466
882	3488	462
883	3492	458
884	3496	454
885	3500	450
886	3504	446
887	3508	442
888	3512	438
889	3516	434
890	3523	431
891	3529	427
892	3539	424
893	3543	420
894	3546	416
895	3550	412
896	3554	408
897	3558	404
898	3562	400
899	3565	396
900	3569	392
901	3572	388
902	3578	384
903	3582	380
904	3587	376
905	3591	372
906	3594	368
907	3597	364
908	3601	360
909	3604	356
910	3607	352
911	3610	348
912	3614	344
913	3617	340
914	3620	336
915	3624	332
916	3627	328
917	3631	324
918	3634	320
919	3638	316
920	3642	312
921	3645	308
922	3649	304
923	3653	300
924	3656	296
925	3659	292
926	3663	288
927	3666	284
928	3669	280
929	3673	276
930	3677	272
931	3680	268
932	3684	264
933	3692	260
934	3699	257
935	3702	253
936	3706	249
937	3709	245
938	3713	241
939	3716	237
940	3719	233
941	3723	229
942	3726	225
943	3729	221
944	3733	217
945	3736	213
946	3739	209
947	3743	205
948	3746	201
949	3749	197
950	3753	193
951	3756	189
952	3759	185
953	3763	181
954	3766	177
955	3769	173
956	3772	169
957	3776	165
958	3779	161
959	3782	157
960	3786	153
961	3789	149
962	3793	145
963	3796	141
964	3800	137
965	3803	133
966	3807	129
967	3811	125
968	3815	122
969	3819	118
970	3822	114
971	3826	110
972	3829	106
973	3833	102
974	3836	98
975	3839	94
976	3843	90
977	3846	86
978	3850	82
979	3854	78
980	3858	74
981	3861	70
982	3865	66
983	3868	62
984	3872	58
985	3875	55
986	3878	51
987	3882	47
988	3885	43
989	3889	39
990	3892	35
991	3895	31
992	3899	27
993	3902	23
994	3906	19
995	3909	15
996	3912	11
997	3916	7
998	3919	3
999	3922	0
